Team,Rank,Total Auto Points,Total Teleop Points,Contributed Points,Total Auto Coral,Total Teleop Coral,Total Cycle Points,Deep Cage Climb,Did Leave Starting Zone,Teleop Coral L4,Teleop Coral L3,Teleop Coral L2,Teleop Coral L1,Teleop Algae Remove,Teleop Algae Proc,Teleop Algae Net,Fouls,Died During Match,Did Defense
1690,,31.9,94.2,138.1,4.1,25.4,28.3,1,1,4.3,6.4,5.8,8.9,2.9,0.2,2.6,0,0,0
3339,,23.9,53.9,82.7,3,12.6,14.9,0.4,1,2.1,4.3,3.6,2.7,2.8,0.5,1.8,0,0,0
2231,,22.9,54.4,78.2,3.1,11.5,14.1,0,1,3.4,4.2,2.5,1.4,2.5,0,2.6,0.3,0,0
5951,,9.7,46.1,67.8,0.9,10.2,12,1,1,2.9,3.4,2.7,1.1,2,0,1.9,0,0,0
3065,,9,50.7,63.9,0.9,9.2,11.4,0.2,1,3.3,3.6,2.3,0,1.8,2.1,0,0,0,0
2630,,10.2,40.5,59.7,1.2,8.4,11.3,0.7,1,0.9,3.5,2.6,1.4,1.2,0,2.9,0,0,0
2230,,21.7,47.5,78.6,2.7,8.5,11.1,0.7,1,4.3,3.3,0.5,0.4,4.6,0,2.6,0,0,0
4590,,18.4,42.4,69.1,2.3,7.3,10.6,0.7,0.8,2,3.1,1.9,0.3,2.2,0.2,3.2,0,0,0
3075,,9.6,46,66.2,1,8.8,10.6,0.9,1,4.7,2.8,1.3,0,2,0,1.9,0,0.3,0
7039,,13.1,38.3,61.4,1.6,8.8,10.3,0.8,1,3.1,1.8,1.8,2.1,2.4,0,1.5,0,0,0
7845,,14.2,39.7,65.7,1.6,10.2,10.2,1,1,3,3.6,3.2,0.4,1.9,0,0,0,0,0
1942,,20.3,44.2,70.3,2.5,10.2,10.2,0.4,1,5.8,2.7,0.9,0.8,0.4,0,0,0,0,0
5715,,9.9,40.4,50.7,1,8.9,9.7,0,1,4.3,2.6,1,1,2,0,0.9,0,0.1,0
5135,,5.2,19.5,27.1,0.7,9.2,9.2,0.1,1,0.2,0.3,0,8.8,0.2,0,0,0,0,0.2
